"video_id","question","choices","answer","correct_choice","pred_answer","pred_choice","qa_acc","task"
1,"What can be seen in the cockpit's center screen right now?","['A compass.', 'A map.', 'An altitude meter.', 'A weather radar.']","A map.","B","B) A map.","B",100.0,"Object Recognition"
1,"What colors are the pilot's handheld controls right now?","['Black.', 'Red and green.', 'Yellow and blue.', 'Black and orange.']","Black.","A","D) Black and orange.","D",0.0,"Attribute Recognition"
1,"What are the visible weather conditions right now?","['Clear sky with scattered clouds.', 'Overcast sky with rain.', 'Foggy with low visibility.', 'Thunderstorms with lightning.']","Clear sky with scattered clouds.","A","A) Clear sky with scattered clouds.","A",100.0,"Attribute Recognition"
1,"What are colors of the curved flight path right now?","['Yellow and blue.', 'Blue and white.', 'Green and ograne.', 'Red and blue.']","Red and blue.","D","D) Red and blue.","D",100.0,"Attribute Recognition"
1,"What is located to the bottom-left of the cockpit's central control panel right now?","['A blue handle.', 'A red button.', 'An altitude meter.', 'A compass.']","A blue handle.","A","A) A blue handle.","A",100.0,"Object Recognition"
2,"Which of the following options best summarizes the actions of the individual taken just now?","['The individual organized serving trays and sanitized the preparation area.', 'The individual retrieved produce from the refrigerator and began chopping vegetables.', 'The individual replenished bread inventory by placing new buns onto the shelves.', 'The individual checked inventory levels and noted items lacking in stock.']","The individual replenished bread inventory by placing new buns onto the shelves.","C","C) The individual replenished bread inventory by placing new buns onto the shelves","C",100.0,"Clips Summarize"
2,"Which of the following options best summarizes the actions of the individual taken just now?","['The individual prepared a burger by retrieving buns, and placing them on the package.', 'The individual organized utensils by sanitizing them and placing them back in their designated areas.', 'The individual cleaned the preparation area and refilled condiment dispensers.', 'The individual baked a batch of fresh buns and arranged them in an orderly manner.']","The individual prepared a burger by retrieving buns, and placing them on the package.","A","A) The individual prepared a burger by retrieving buns, and placing them on","A",100.0,"Clips Summarize"
2,"Which of the following options best summarizes the actions of the individual taken just now?","['The individual arranged fresh vegetables on plates and prepared salads.', 'The individual topped burger buns with ketchup, onions.', 'The individual arranged freshly cut fruits into serving containers.', 'The individual prepared sandwiches by arranging cheese and lettuce on bread slices.']","The individual topped burger buns with ketchup, onions.","B","B) The individual topped burger buns with ketchup, onions.","B",100.0,"Clips Summarize"
2,"Which of the following options best summarizes the actions of the individual taken just now?","['The individual toasted the buns and added ketchup and mustard.', 'The individual placed two buns in boxes, added cheese slices, and added condiments.', 'The individual grilled burger patties and placed them on the buns with lettuce and pickles.', 'The individual wrapped sandwiches with paper and handed them to the customer.']","The individual placed two buns in boxes, added cheese slices, and added condiments.","B","B) The individual placed two buns in boxes, added cheese slices, and","B",100.0,"Clips Summarize"
2,"Which of the following options best summarizes the actions of the individual taken just now?","['The individual selected burger buns, added patties, and placed them on a griddle.', 'The individual retrieved burger buns, added lettuce and sauces, and placed them on a tray.', 'The individual took burger buns, added lettuce and condiments, and arranged them on a preparation area.', 'The individual cleaned the preparation area, organized serving trays, and put away ingredients.']","The individual took burger buns, added lettuce and condiments, and arranged them on a preparation area.","C","C) The individual took burger buns, added lettuce and condiments, and","C",100.0,"Clips Summarize"
